Token type: class, lexeme: class, count: 0, length: 5
Token type: id, lexeme: Utility, count: 6, length: 7
Token type: opencur, lexeme: {, count: 16, length: 1
Token type: int, lexeme: int, count: 23, length: 3
Token type: id, lexeme: var1, count: 27, length: 4
Token type: opensq, lexeme: [, count: 31, length: 1
Token type: INT, lexeme: 4, count: 32, length: 1
Token type: closesq, lexeme: ], count: 33, length: 1
Token type: opensq, lexeme: [, count: 34, length: 1
Token type: INT, lexeme: 5, count: 35, length: 1
Token type: closesq, lexeme: ], count: 36, length: 1
Token type: opensq, lexeme: [, count: 37, length: 1
Token type: INT, lexeme: 7, count: 38, length: 1
Token type: closesq, lexeme: ], count: 39, length: 1
Token type: opensq, lexeme: [, count: 40, length: 1
Token type: INT, lexeme: 8, count: 41, length: 1
Token type: closesq, lexeme: ], count: 42, length: 1
Token type: opensq, lexeme: [, count: 43, length: 1
Token type: INT, lexeme: 9, count: 44, length: 1
Token type: closesq, lexeme: ], count: 45, length: 1
Token type: opensq, lexeme: [, count: 46, length: 1
Token type: INT, lexeme: 1, count: 47, length: 1
Token type: closesq, lexeme: ], count: 48, length: 1
Token type: opensq, lexeme: [, count: 49, length: 1
Token type: INT, lexeme: 0, count: 50, length: 1
Token type: closesq, lexeme: ], count: 51, length: 1
Token type: semi, lexeme: ;, count: 52, length: 1
Token type: comment, lexeme: //note number of elements must be less than the ones declared, count: 56, length: 61
Token type: float, lexeme: float, count: 119, length: 5
Token type: id, lexeme: var2, count: 125, length: 4
Token type: semi, lexeme: ;, count: 129, length: 1
Token type: int, lexeme: int, count: 136, length: 3
Token type: id, lexeme: findMax, count: 140, length: 7
Token type: openpar, lexeme: (, count: 147, length: 1
Token type: int, lexeme: int, count: 148, length: 3
Token type: id, lexeme: array, count: 152, length: 5
Token type: opensq, lexeme: [, count: 157, length: 1
Token type: INT, lexeme: 100, count: 158, length: 3
Token type: closesq, lexeme: ], count: 161, length: 1
Token type: closepar, lexeme: ), count: 162, length: 1
Token type: opencur, lexeme: {, count: 167, length: 1
Token type: int, lexeme: int, count: 173, length: 3
Token type: id, lexeme: maxValue, count: 177, length: 8
Token type: semi, lexeme: ;, count: 185, length: 1
Token type: int, lexeme: int, count: 191, length: 3
Token type: id, lexeme: maxValue, count: 195, length: 8
Token type: semi, lexeme: ;, count: 203, length: 1
Token type: id, lexeme: maxValue, count: 208, length: 8
Token type: assignop, lexeme: =, count: 217, length: 1
Token type: id, lexeme: array, count: 219, length: 5
Token type: opensq, lexeme: [, count: 224, length: 1
Token type: INT, lexeme: 100, count: 225, length: 3
Token type: closesq, lexeme: ], count: 228, length: 1
Token type: semi, lexeme: ;, count: 229, length: 1
Token type: for, lexeme: for, count: 235, length: 3
Token type: openpar, lexeme: (, count: 238, length: 1
Token type: int, lexeme: int, count: 239, length: 3
Token type: id, lexeme: idx, count: 243, length: 3
Token type: assignop, lexeme: =, count: 247, length: 1
Token type: INT, lexeme: 99, count: 249, length: 2
Token type: semi, lexeme: ;, count: 251, length: 1
Token type: id, lexeme: idx, count: 253, length: 3
Token type: relop_g, lexeme: >, count: 257, length: 1
Token type: INT, lexeme: 0, count: 259, length: 1
Token type: semi, lexeme: ;, count: 260, length: 1
Token type: id, lexeme: idx, count: 262, length: 3
Token type: assignop, lexeme: =, count: 266, length: 1
Token type: id, lexeme: idx, count: 268, length: 3
Token type: sub, lexeme: -, count: 272, length: 1
Token type: INT, lexeme: 1, count: 274, length: 1
Token type: closepar, lexeme: ), count: 276, length: 1
Token type: opencur, lexeme: {, count: 282, length: 1
Token type: if, lexeme: if, count: 289, length: 2
Token type: openpar, lexeme: (, count: 291, length: 1
Token type: id, lexeme: array, count: 292, length: 5
